Property_ID,Title,Property_Type,Purpose,Category,Price_AED,Rent_Frequency,Bedrooms,Bathrooms,Area_SQFT,Price_Per_SQFT,Community,City,Tier,Latitude,Longitude,Furnished,Completion_Status,Agency,Date_Listed,Date_Extracted,Price_Category,Bedroom_Label
PF100012,Studio Apartment in Arabian Ranches,Studio,For Rent,Residential,115432,Yearly,0,1,1863,61.96,Arabian Ranches,Dubai,Luxury,25.055218,55.268761,Semi-Furnished,Ready,Allsopp & Allsopp,2024-06-08,2025-02-20,Premium,Studio
PF100013,2 BR Townhouse in Dubai Production City,Townhouse,For Rent,Residential,24889,Yearly,2,2,2754,9.04,Dubai Production City,Dubai,Affordable,25.032795,55.195074,Semi-Furnished,Ready,CBRE UAE,2024-06-14,2025-02-20,Affordable,2 Bedrooms
PF100014,2 BR Villa in Jumeirah Beach Residence,Villa,For Rent,Residential,94528,Yearly,2,2,3413,27.7,Jumeirah Beach Residence,Dubai,Luxury,25.08145,55.133688,Furnished,Off-Plan,Engel & Völkers,2024-10-29,2025-02-20,Mid-Tier,2 Bedrooms
PF100015,Studio Apartment in Palm Jumeirah,Studio,For Rent,Residential,137576,Yearly,0,1,1559,88.25,Palm Jumeirah,Dubai,Luxury,25.107189,55.133817,Furnished,Ready,Engel & Völkers,2024-11-17,2025-02-20,Premium,Studio
PF100016,4 BR Villa in Dubai Marina,Villa,For Rent,Residential,137742,Yearly,4,4,4243,32.46,Dubai Marina,Dubai,Luxury,25.089437,55.133603,Semi-Furnished,Off-Plan,Provident Estate,2024-10-28,2025-02-20,Premium,4 Bedrooms
PF100017,1 BR Townhouse in Dubai Production City,Townhouse,For Rent,Residential,25951,Yearly,1,1,3409,7.61,Dubai Production City,Dubai,Affordable,25.032862,55.196352,Furnished,Ready,Allsopp & Allsopp,2024-04-02,2025-02-20,Affordable,1 Bedroom
PF100018,Studio Apartment in Dubai Silicon Oasis,Studio,For Rent,Residential,18540,Yearly,0,1,1202,15.42,Dubai Silicon Oasis,Dubai,Affordable,25.111044,55.385557,Furnished,Ready,Betterhomes,2024-03-02,2025-02-20,Affordable,Studio
PF100019,Studio Apartment in Dubai Silicon Oasis,Studio,For Rent,Residential,18798,Yearly,0,1,1440,13.05,Dubai Silicon Oasis,Dubai,Affordable,25.12428,55.375685,Semi-Furnished,Off-Plan,Provident Estate,2024-04-08,2025-02-20,Affordable,Studio
PF100020,3 BR Villa in Arjan,Villa,For Rent,Residential,41017,Yearly,3,3,1144,35.85,Arjan,Dubai,Affordable,25.04798,55.208086,Unfurnished,Ready,Allsopp & Allsopp,2024-08-29,2025-02-20,Affordable,3 Bedrooms
PF100021,3 BR Townhouse in Downtown Dubai,Townhouse,For Rent,Residential,125186,Yearly,3,3,2386,52.47,Downtown Dubai,Dubai,Luxury,25.191032,55.275126,Unfurnished,Ready,Driven Properties,2024-04-12,2025-02-20,Premium,3 Bedrooms
PF100022,1 BR Apartment in Al Nahda,Apartment,For Rent,Residential,22764,Yearly,1,1,701,32.47,Al Nahda,Dubai,Affordable,25.282912,55.389386,Furnished,Ready,Espace Real Estate,2024-02-08,2025-02-20,Affordable,1 Bedroom
PF100023,3 BR Penthouse in Bur Dubai,Penthouse,For Rent,Residential,46809,Yearly,3,3,1942,24.1,Bur Dubai,Dubai,Affordable,25.261249,55.290493,Unfurnished,Off-Plan,Engel & Völkers,2024-02-02,2025-02-20,Affordable,3 Bedrooms
PF100024,3 BR Penthouse in Jumeirah Village Circle,Penthouse,For Rent,Residential,54172,Yearly,3,3,1077,50.3,Jumeirah Village Circle,Dubai,Affordable,25.055034,55.217374,Semi-Furnished,Ready,Fäm Properties,2024-11-23,2025-02-20,Mid-Tier,3 Bedrooms
PF100025,Studio Apartment in Downtown Dubai,Studio,For Rent,Residential,83284,Yearly,0,1,2252,36.98,Downtown Dubai,Dubai,Luxury,25.197257,55.281454,Furnished,Ready,Espace Real Estate,2024-04-21,2025-02-20,Mid-Tier,Studio
PF100026,4 BR Apartment in Dubai Marina,Apartment,For Rent,Residential,158742,Yearly,4,4,1953,81.28,Dubai Marina,Dubai,Luxury,25.072898,55.148106,Semi-Furnished,Ready,Savills UAE,2024-06-06,2025-02-20,Premium,4 Bedrooms
PF100027,3 BR Townhouse in Dubai Marina,Townhouse,For Rent,Residential,131014,Yearly,3,3,2023,64.76,Dubai Marina,Dubai,Luxury,25.083895,55.136584,Unfurnished,Ready,Driven Properties,2024-06-15,2025-02-20,Premium,3 Bedrooms
PF100028,2 BR Apartment in Al Nahda,Apartment,For Rent,Residential,16474,Yearly,2,2,2177,7.57,Al Nahda,Dubai,Affordable,25.294323,55.38066,Furnished,Ready,CBRE UAE,2024-03-23,2025-02-20,Affordable,2 Bedrooms
PF100029,1 BR Townhouse in Mirdif,Townhouse,For Rent,Residential,27655,Yearly,1,1,2351,11.76,Mirdif,Dubai,Mid-Tier,25.218491,55.411355,Semi-Furnished,Off-Plan,Savills UAE,2024-11-05,2025-02-20,Affordable,1 Bedroom
PF100030,Studio Apartment in Dubai Sports City,Studio,For Rent,Residential,22310,Yearly,0,1,724,30.81,Dubai Sports City,Dubai,Affordable,25.051779,55.217686,Furnished,Ready,Driven Properties,2024-03-31,2025-02-20,Affordable,Studio
PF100031,4 BR Villa in Jumeirah Village Circle,Villa,For Rent,Residential,86206,Yearly,4,4,2017,42.74,Jumeirah Village Circle,Dubai,Affordable,25.06285,55.215058,Unfurnished,Off-Plan,Betterhomes,2024-10-16,2025-02-20,Mid-Tier,4 Bedrooms
PF100032,3 BR Townhouse in Dubai Marina,Townhouse,For Rent,Residential,96933,Yearly,3,3,379,255.76,Dubai Marina,Dubai,Luxury,25.077171,55.132916,Furnished,Off-Plan,CBRE UAE,2024-06-14,2025-02-20,Mid-Tier,3 Bedrooms
PF100033,4 BR Apartment in Bur Dubai,Apartment,For Rent,Residential,48496,Yearly,4,4,608,79.76,Bur Dubai,Dubai,Affordable,25.262101,55.30102,Semi-Furnished,Ready,Fäm Properties,2024-04-17,2025-02-20,Affordable,4 Bedrooms
PF100034,4 BR Villa in DAMAC Hills,Villa,For Rent,Residential,117249,Yearly,4,4,1394,84.11,DAMAC Hills,Dubai,Mid-Tier,25.018137,55.238093,Unfurnished,Ready,Provident Estate,2024-02-21,2025-02-20,Premium,4 Bedrooms
PF100035,2 BR Penthouse in Jumeirah Beach Residence,Penthouse,For Rent,Residential,149715,Yearly,2,2,933,160.47,Jumeirah Beach Residence,Dubai,Luxury,25.084715,55.127635,Furnished,Off-Plan,Betterhomes,2024-04-24,2025-02-20,Premium,2 Bedrooms
PF100036,2 BR Penthouse in Dubai Hills Estate,Penthouse,For Rent,Residential,83274,Yearly,2,2,1392,59.82,Dubai Hills Estate,Dubai,Mid-Tier,25.107084,55.242026,Furnished,Off-Plan,Provident Estate,2024-08-14,2025-02-20,Mid-Tier,2 Bedrooms
PF100037,3 BR Townhouse in Jumeirah Lake Towers,Townhouse,For Rent,Residential,78000,Yearly,3,3,2214,35.23,Jumeirah Lake Towers,Dubai,Mid-Tier,25.063058,55.143301,Unfurnished,Off-Plan,Allsopp & Allsopp,2024-08-23,2025-02-20,Mid-Tier,3 Bedrooms
PF100038,2 BR Penthouse in Mirdif,Penthouse,For Rent,Residential,71578,Yearly,2,2,2496,28.68,Mirdif,Dubai,Mid-Tier,25.217723,55.408752,Furnished,Off-Plan,Betterhomes,2024-06-13,2025-02-20,Mid-Tier,2 Bedrooms
PF100039,4 BR Penthouse in Jumeirah Beach Residence,Penthouse,For Rent,Residential,195463,Yearly,4,4,1584,123.4,Jumeirah Beach Residence,Dubai,Luxury,25.074928,55.142585,Unfurnished,Ready,Driven Properties,2024-03-31,2025-02-20,Premium,4 Bedrooms
PF100040,3 BR Apartment in Downtown Dubai,Apartment,For Rent,Residential,189775,Yearly,3,3,1107,171.43,Downtown Dubai,Dubai,Luxury,25.194484,55.265799,Unfurnished,Off-Plan,Allsopp & Allsopp,2025-01-06,2025-02-20,Premium,3 Bedrooms
PF100041,4 BR Townhouse in Jumeirah Village Circle,Townhouse,For Rent,Residential,92646,Yearly,4,4,3022,30.66,Jumeirah Village Circle,Dubai,Affordable,25.057148,55.203913,Furnished,Off-Plan,Coldwell Banker,2024-04-06,2025-02-20,Mid-Tier,4 Bedrooms
PF100042,4 BR Townhouse in Dubai Hills Estate,Townhouse,For Rent,Residential,169837,Yearly,4,4,4838,35.1,Dubai Hills Estate,Dubai,Mid-Tier,25.120575,55.234077,Unfurnished,Off-Plan,Engel & Völkers,2024-05-18,2025-02-20,Premium,4 Bedrooms
PF100043,3 BR Villa in Al Nahda,Villa,For Rent,Residential,41700,Yearly,3,3,4226,9.87,Al Nahda,Dubai,Affordable,25.297775,55.388597,Semi-Furnished,Ready,Driven Properties,2024-04-27,2025-02-20,Affordable,3 Bedrooms
PF100044,4 BR Townhouse in Dubai Sports City,Townhouse,For Rent,Residential,46680,Yearly,4,4,2274,20.53,Dubai Sports City,Dubai,Affordable,25.046456,55.219493,Furnished,Ready,Betterhomes,2024-05-12,2025-02-20,Affordable,4 Bedrooms
PF100045,3 BR Apartment in Al Barsha,Apartment,For Rent,Residential,81415,Yearly,3,3,1997,40.77,Al Barsha,Dubai,Mid-Tier,25.116223,55.200913,Unfurnished,Off-Plan,Coldwell Banker,2025-01-22,2025-02-20,Mid-Tier,3 Bedrooms
PF100046,1 BR Apartment in Al Barsha,Apartment,For Rent,Residential,61050,Yearly,1,1,736,82.95,Al Barsha,Dubai,Mid-Tier,25.114068,55.193777,Semi-Furnished,Off-Plan,Betterhomes,2025-01-22,2025-02-20,Mid-Tier,1 Bedroom
PF100047,1 BR Apartment in Dubai Production City,Apartment,For Rent,Residential,27269,Yearly,1,1,846,32.23,Dubai Production City,Dubai,Affordable,25.040128,55.199352,Semi-Furnished,Off-Plan,Engel & Völkers,2024-11-13,2025-02-20,Affordable,1 Bedroom
PF100048,4 BR Penthouse in Arabian Ranches,Penthouse,For Rent,Residential,410431,Yearly,4,4,2126,193.05,Arabian Ranches,Dubai,Luxury,25.061244,55.274273,Unfurnished,Off-Plan,Provident Estate,2024-10-01,2025-02-20,Luxury,4 Bedrooms
PF100049,4 BR Penthouse in Mirdif,Penthouse,For Rent,Residential,114111,Yearly,4,4,1279,89.22,Mirdif,Dubai,Mid-Tier,25.216592,55.40975,Furnished,Off-Plan,Fäm Properties,2024-06-26,2025-02-20,Premium,4 Bedrooms
PF100050,4 BR Apartment in Dubai Silicon Oasis,Apartment,For Rent,Residential,46602,Yearly,4,4,917,50.82,Dubai Silicon Oasis,Dubai,Affordable,25.115525,55.385279,Furnished,Ready,Coldwell Banker,2025-01-27,2025-02-20,Affordable,4 Bedrooms
PF100051,2 BR Penthouse in Bur Dubai,Penthouse,For Rent,Residential,47023,Yearly,2,2,555,84.73,Bur Dubai,Dubai,Affordable,25.247337,55.295603,Semi-Furnished,Ready,Savills UAE,2024-11-26,2025-02-20,Affordable,2 Bedrooms
PF100052,3 BR Apartment in Deira,Apartment,For Rent,Residential,37831,Yearly,3,3,1523,24.84,Deira,Dubai,Affordable,25.27477,55.316569,Semi-Furnished,Ready,Engel & Völkers,2024-09-02,2025-02-20,Affordable,3 Bedrooms
PF100053,2 BR Penthouse in Al Barsha,Penthouse,For Rent,Residential,62844,Yearly,2,2,418,150.34,Al Barsha,Dubai,Mid-Tier,25.106277,55.202777,Semi-Furnished,Ready,Engel & Völkers,2024-08-26,2025-02-20,Mid-Tier,2 Bedrooms
PF100054,4 BR Apartment in Business Bay,Apartment,For Rent,Residential,171654,Yearly,4,4,1913,89.73,Business Bay,Dubai,Mid-Tier,25.187038,55.26826,Semi-Furnished,Off-Plan,Espace Real Estate,2024-03-14,2025-02-20,Premium,4 Bedrooms
PF100055,1 BR Apartment in Al Nahda,Apartment,For Rent,Residential,18566,Yearly,1,1,1852,10.02,Al Nahda,Dubai,Affordable,25.288447,55.378494,Unfurnished,Off-Plan,Coldwell Banker,2024-07-22,2025-02-20,Affordable,1 Bedroom
PF100056,Studio Apartment in Mirdif,Studio,For Rent,Residential,32911,Yearly,0,1,379,86.84,Mirdif,Dubai,Mid-Tier,25.22608,55.409242,Furnished,Ready,Betterhomes,2024-07-29,2025-02-20,Affordable,Studio
PF100057,1 BR Villa in Palm Jumeirah,Villa,For Rent,Residential,129739,Yearly,1,1,1598,81.19,Palm Jumeirah,Dubai,Luxury,25.107171,55.138471,Semi-Furnished,Ready,Engel & Völkers,2024-03-30,2025-02-20,Premium,1 Bedroom
PF100058,2 BR Villa in Mirdif,Villa,For Rent,Residential,67236,Yearly,2,2,1288,52.2,Mirdif,Dubai,Mid-Tier,25.226656,55.411475,Furnished,Ready,Driven Properties,2024-07-09,2025-02-20,Mid-Tier,2 Bedrooms
PF100059,3 BR Penthouse in DAMAC Hills,Penthouse,For Rent,Residential,116230,Yearly,3,3,1112,104.52,DAMAC Hills,Dubai,Mid-Tier,25.01882,55.244612,Furnished,Ready,Driven Properties,2024-12-18,2025-02-20,Premium,3 Bedrooms
PF100060,Studio Apartment in Arabian Ranches,Studio,For Rent,Residential,139177,Yearly,0,1,468,297.39,Arabian Ranches,Dubai,Luxury,25.050244,55.267968,Furnished,Off-Plan,Betterhomes,2024-08-08,2025-02-20,Premium,Studio
PF100061,3 BR Apartment in Bur Dubai,Apartment,For Rent,Residential,64093,Yearly,3,3,1783,35.95,Bur Dubai,Dubai,Affordable,25.255912,55.303774,Furnished,Off-Plan,Espace Real Estate,2025-01-28,2025-02-20,Mid-Tier,3 Bedrooms
PF100062,2 BR Penthouse in Dubai Sports City,Penthouse,For Rent,Residential,49918,Yearly,2,2,2084,23.95,Dubai Sports City,Dubai,Affordable,25.049515,55.226849,Furnished,Ready,Driven Properties,2024-07-15,2025-02-20,Affordable,2 Bedrooms
PF100063,1 BR Penthouse in Al Nahda,Penthouse,For Rent,Residential,25670,Yearly,1,1,1852,13.86,Al Nahda,Dubai,Affordable,25.288628,55.379286,Furnished,Off-Plan,Provident Estate,2024-07-16,2025-02-20,Affordable,1 Bedroom
PF100064,2 BR Townhouse in International City,Townhouse,For Rent,Residential,24446,Yearly,2,2,2613,9.36,International City,Dubai,Affordable,25.164416,55.414233,Furnished,Ready,Coldwell Banker,2024-05-08,2025-02-20,Affordable,2 Bedrooms
PF100065,4 BR Villa in Arjan,Villa,For Rent,Residential,88801,Yearly,4,4,4370,20.32,Arjan,Dubai,Affordable,25.043763,55.201345,Furnished,Off-Plan,Provident Estate,2024-06-30,2025-02-20,Mid-Tier,4 Bedrooms
PF100066,4 BR Townhouse in Jumeirah Village Circle,Townhouse,For Rent,Residential,99022,Yearly,4,4,4884,20.27,Jumeirah Village Circle,Dubai,Affordable,25.059718,55.20651,Unfurnished,Off-Plan,Engel & Völkers,2024-11-08,2025-02-20,Mid-Tier,4 Bedrooms
PF100067,2 BR Townhouse in Mirdif,Townhouse,For Rent,Residential,45097,Yearly,2,2,1338,33.7,Mirdif,Dubai,Mid-Tier,25.225526,55.414511,Semi-Furnished,Ready,Provident Estate,2024-11-01,2025-02-20,Affordable,2 Bedrooms
PF100068,3 BR Townhouse in Jumeirah Lake Towers,Townhouse,For Rent,Residential,110983,Yearly,3,3,4647,23.88,Jumeirah Lake Towers,Dubai,Mid-Tier,25.070536,55.14971,Unfurnished,Ready,Fäm Properties,2024-05-10,2025-02-20,Premium,3 Bedrooms
PF100069,2 BR Apartment in Dubai Hills Estate,Apartment,For Rent,Residential,68931,Yearly,2,2,1423,48.44,Dubai Hills Estate,Dubai,Mid-Tier,25.10481,55.229091,Semi-Furnished,Ready,Engel & Völkers,2024-06-29,2025-02-20,Mid-Tier,2 Bedrooms
PF100070,Studio Apartment in Jumeirah Beach Residence,Studio,For Rent,Residential,80121,Yearly,0,1,1464,54.73,Jumeirah Beach Residence,Dubai,Luxury,25.075588,55.131709,Furnished,Off-Plan,Engel & Völkers,2024-05-05,2025-02-20,Mid-Tier,Studio
PF100071,Studio Apartment in Jumeirah Beach Residence,Studio,For Rent,Residential,68760,Yearly,0,1,2314,29.71,Jumeirah Beach Residence,Dubai,Luxury,25.067682,55.135489,Furnished,Ready,Savills UAE,2024-02-28,2025-02-20,Mid-Tier,Studio
PF100072,Studio Apartment in Jumeirah Village Circle,Studio,For Rent,Residential,25632,Yearly,0,1,785,32.65,Jumeirah Village Circle,Dubai,Affordable,25.060261,55.206323,Semi-Furnished,Ready,CBRE UAE,2024-12-02,2025-02-20,Affordable,Studio
PF100073,3 BR Penthouse in Deira,Penthouse,For Rent,Residential,35691,Yearly,3,3,2056,17.36,Deira,Dubai,Affordable,25.265808,55.311921,Semi-Furnished,Ready,Provident Estate,2024-12-09,2025-02-20,Affordable,3 Bedrooms
PF100074,2 BR Apartment in Jumeirah Lake Towers,Apartment,For Rent,Residential,49762,Yearly,2,2,1282,38.82,Jumeirah Lake Towers,Dubai,Mid-Tier,25.062076,55.131601,Unfurnished,Off-Plan,Savills UAE,2024-02-02,2025-02-20,Affordable,2 Bedrooms
PF100075,2 BR Apartment in Arjan,Apartment,For Rent,Residential,38853,Yearly,2,2,1480,26.25,Arjan,Dubai,Affordable,25.048939,55.21506,Furnished,Ready,Driven Properties,2024-09-20,2025-02-20,Affordable,2 Bedrooms
PF100076,1 BR Penthouse in DAMAC Hills,Penthouse,For Rent,Residential,40264,Yearly,1,1,1220,33.0,DAMAC Hills,Dubai,Mid-Tier,25.030253,55.248968,Furnished,Ready,Espace Real Estate,2024-04-13,2025-02-20,Affordable,1 Bedroom
PF100077,4 BR Townhouse in Jumeirah Village Circle,Townhouse,For Rent,Residential,95670,Yearly,4,4,1368,69.93,Jumeirah Village Circle,Dubai,Affordable,25.058474,55.204082,Unfurnished,Off-Plan,Engel & Völkers,2024-08-25,2025-02-20,Mid-Tier,4 Bedrooms
PF100078,4 BR Apartment in Dubai Marina,Apartment,For Rent,Residential,197439,Yearly,4,4,1620,121.88,Dubai Marina,Dubai,Luxury,25.082574,55.130817,Semi-Furnished,Ready,Driven Properties,2024-05-28,2025-02-20,Premium,4 Bedrooms
PF100079,Studio Apartment in DAMAC Hills,Studio,For Rent,Residential,50005,Yearly,0,1,1017,49.17,DAMAC Hills,Dubai,Mid-Tier,25.02671,55.24383,Furnished,Off-Plan,Engel & Völkers,2024-06-22,2025-02-20,Mid-Tier,Studio
PF100080,3 BR Townhouse in Dubai Marina,Townhouse,For Rent,Residential,154227,Yearly,3,3,3080,50.07,Dubai Marina,Dubai,Luxury,25.076921,55.132392,Unfurnished,Off-Plan,Engel & Völkers,2024-04-23,2025-02-20,Premium,3 Bedrooms
PF100081,3 BR Apartment in Jumeirah Village Circle,Apartment,For Rent,Residential,77768,Yearly,3,3,660,117.83,Jumeirah Village Circle,Dubai,Affordable,25.05539,55.204465,Semi-Furnished,Ready,CBRE UAE,2024-08-25,2025-02-20,Mid-Tier,3 Bedrooms
PF100082,3 BR Apartment in Al Nahda,Apartment,For Rent,Residential,28975,Yearly,3,3,2423,11.96,Al Nahda,Dubai,Affordable,25.289136,55.384529,Unfurnished,Ready,Provident Estate,2024-12-17,2025-02-20,Affordable,3 Bedrooms
PF100083,4 BR Villa in Mirdif,Villa,For Rent,Residential,80814,Yearly,4,4,3939,20.52,Mirdif,Dubai,Mid-Tier,25.228717,55.417894,Semi-Furnished,Ready,Espace Real Estate,2024-02-15,2025-02-20,Mid-Tier,4 Bedrooms
PF100084,4 BR Apartment in Jumeirah Village Circle,Apartment,For Rent,Residential,106788,Yearly,4,4,1971,54.18,Jumeirah Village Circle,Dubai,Affordable,25.050964,55.217845,Unfurnished,Ready,Espace Real Estate,2024-03-30,2025-02-20,Premium,4 Bedrooms
PF100085,2 BR Townhouse in Arjan,Townhouse,For Rent,Residential,49706,Yearly,2,2,4302,11.55,Arjan,Dubai,Affordable,25.054405,55.205875,Furnished,Off-Plan,Provident Estate,2024-11-09,2025-02-20,Affordable,2 Bedrooms
PF100086,4 BR Villa in Arabian Ranches,Villa,For Rent,Residential,222450,Yearly,4,4,2613,85.13,Arabian Ranches,Dubai,Luxury,25.058754,55.276488,Semi-Furnished,Off-Plan,Betterhomes,2024-07-24,2025-02-20,Luxury,4 Bedrooms
PF100087,2 BR Penthouse in Jumeirah Village Circle,Penthouse,For Rent,Residential,40264,Yearly,2,2,2129,18.91,Jumeirah Village Circle,Dubai,Affordable,25.059872,55.204902,Semi-Furnished,Off-Plan,Engel & Völkers,2024-11-09,2025-02-20,Affordable,2 Bedrooms
PF100088,1 BR Villa in Dubai Silicon Oasis,Villa,For Rent,Residential,32968,Yearly,1,1,2263,14.57,Dubai Silicon Oasis,Dubai,Affordable,25.12802,55.379616,Semi-Furnished,Off-Plan,Coldwell Banker,2024-07-12,2025-02-20,Affordable,1 Bedroom
PF100089,1 BR Penthouse in Deira,Penthouse,For Rent,Residential,14849,Yearly,1,1,817,18.18,Deira,Dubai,Affordable,25.269746,55.311304,Unfurnished,Ready,CBRE UAE,2024-03-23,2025-02-20,Affordable,1 Bedroom
PF100090,Studio Apartment in Al Nahda,Studio,For Rent,Residential,20836,Yearly,0,1,890,23.41,Al Nahda,Dubai,Affordable,25.2901,55.382496,Furnished,Off-Plan,Driven Properties,2024-04-20,2025-02-20,Affordable,Studio
PF100091,4 BR Penthouse in Dubai Silicon Oasis,Penthouse,For Rent,Residential,40894,Yearly,4,4,1645,24.86,Dubai Silicon Oasis,Dubai,Affordable,25.127947,55.388587,Unfurnished,Off-Plan,CBRE UAE,2024-08-13,2025-02-20,Affordable,4 Bedrooms
PF100092,4 BR Apartment in Downtown Dubai,Apartment,For Rent,Residential,181156,Yearly,4,4,1477,122.65,Downtown Dubai,Dubai,Luxury,25.207149,55.279335,Furnished,Ready,Engel & Völkers,2024-09-10,2025-02-20,Premium,4 Bedrooms
PF100093,2 BR Apartment in Dubai Hills Estate,Apartment,For Rent,Residential,59425,Yearly,2,2,1628,36.5,Dubai Hills Estate,Dubai,Mid-Tier,25.119823,55.233867,Unfurnished,Ready,Provident Estate,2024-08-10,2025-02-20,Mid-Tier,2 Bedrooms
PF100094,3 BR Villa in Dubai Sports City,Villa,For Rent,Residential,43368,Yearly,3,3,1784,24.31,Dubai Sports City,Dubai,Affordable,25.034579,55.232417,Semi-Furnished,Ready,Engel & Völkers,2024-12-14,2025-02-20,Affordable,3 Bedrooms
PF100095,1 BR Villa in DAMAC Hills,Villa,For Rent,Residential,56154,Yearly,1,1,2430,23.11,DAMAC Hills,Dubai,Mid-Tier,25.026491,55.244137,Unfurnished,Ready,Allsopp & Allsopp,2024-09-26,2025-02-20,Mid-Tier,1 Bedroom
PF100096,2 BR Townhouse in Al Nahda,Townhouse,For Rent,Residential,35042,Yearly,2,2,3825,9.16,Al Nahda,Dubai,Affordable,25.295706,55.378537,Furnished,Off-Plan,Engel & Völkers,2024-07-04,2025-02-20,Affordable,2 Bedrooms
PF100097,1 BR Penthouse in Jumeirah Beach Residence,Penthouse,For Rent,Residential,111974,Yearly,1,1,1770,63.26,Jumeirah Beach Residence,Dubai,Luxury,25.077696,55.142754,Furnished,Off-Plan,Driven Properties,2024-07-01,2025-02-20,Premium,1 Bedroom
PF100098,4 BR Apartment in Palm Jumeirah,Apartment,For Rent,Residential,508447,Yearly,4,4,2334,217.84,Palm Jumeirah,Dubai,Luxury,25.119057,55.147059,Semi-Furnished,Off-Plan,Provident Estate,2024-05-28,2025-02-20,Luxury,4 Bedrooms
PF100099,4 BR Townhouse in Jumeirah Lake Towers,Townhouse,For Rent,Residential,134125,Yearly,4,4,1470,91.24,Jumeirah Lake Towers,Dubai,Mid-Tier,25.071165,55.148168,Furnished,Off-Plan,Engel & Völkers,2024-12-27,2025-02-20,Premium,4 Bedrooms
PF100100,4 BR Townhouse in Downtown Dubai,Townhouse,For Rent,Residential,160836,Yearly,4,4,1088,147.83,Downtown Dubai,Dubai,Luxury,25.205393,55.270934,Furnished,Ready,Espace Real Estate,2024-08-31,2025-02-20,Premium,4 Bedrooms
PF100101,2 BR Townhouse in Dubai Production City,Townhouse,For Rent,Residential,46090,Yearly,2,2,1697,27.16,Dubai Production City,Dubai,Affordable,25.029239,55.202494,Unfurnished,Off-Plan,Allsopp & Allsopp,2024-10-04,2025-02-20,Affordable,2 Bedrooms
PF100102,Studio Apartment in Al Nahda,Studio,For Rent,Residential,11306,Yearly,0,1,1224,9.24,Al Nahda,Dubai,Affordable,25.299103,55.383884,Semi-Furnished,Off-Plan,Allsopp & Allsopp,2024-08-22,2025-02-20,Affordable,Studio
